stationno,datetime,datetime,datetime
246,73,1932-03-15 16:00:00+00:00,1945-03-19 08:00:00+00:00
247,227,1932-03-15 12:00:00+00:00,1945-05-18 12:00:00+00:00
248,73,1933-04-11 08:00:00+00:00,1945-07-27 16:00:00+00:00
249,59,1933-05-08 12:00:00+00:00,1945-08-07 16:00:00+00:00
250,70,1932-02-06 08:00:00+00:00,1945-08-10 08:00:00+00:00
251,71,1933-04-25 20:00:00+00:00,1945-08-10 16:00:00+00:00
252,66,1932-02-06 12:00:00+00:00,1945-07-23 08:00:00+00:00
253,77,1932-02-06 16:00:00+00:00,1945-05-19 08:00:00+00:00
254,86,1933-05-30 16:00:00+00:00,1945-08-12 16:00:00+00:00
255,101,1932-02-27 20:00:00+00:00,1945-08-12 12:00:00+00:00
256,138,1928-06-16 08:00:00+00:00,1945-07-15 20:00:00+00:00
257,181,1932-02-12 08:00:00+00:00,1945-06-19 12:00:00+00:00
258,221,1932-02-07 08:00:00+00:00,1945-07-16 08:00:00+00:00
259,5741,1932-02-11 16:00:00+00:00,1945-03-12 08:00:00+00:00
260,4033,1933-05-10 12:00:00+00:00,1945-03-04 20:00:00+00:00
261,2125,1933-04-12 12:00:00+00:00,1945-03-04 16:00:00+00:00
262,2180,1930-04-14 12:00:00+00:00,1945-05-17 08:00:00+00:00
263,16615,1929-08-01 08:00:00+00:00,1945-03-27 20:00:00+00:00
264,332,1933-03-29 16:00:00+00:00,1945-08-14 16:00:00+00:00
265,914,1933-03-29 12:00:00+00:00,1945-06-11 16:00:00+00:00
266,220,1933-03-29 08:00:00+00:00,1945-05-21 04:00:00+00:00
267,71,1928-10-01 12:00:00+00:00,1945-01-22 08:00:00+00:00
268,66,1928-10-09 08:00:00+00:00,1945-03-04 12:00:00+00:00
269,77,1931-06-03 16:00:00+00:00,1945-06-30 12:00:00+00:00
270,193,1928-02-20 08:00:00+00:00,1945-08-17 12:00:00+00:00
271,2170,1927-01-29 08:00:00+00:00,1945-05-21 12:00:00+00:00
272,197,1928-08-28 08:00:00+00:00,1945-08-20 08:00:00+00:00
273,133,1928-10-11 16:00:00+00:00,1945-03-14 16:00:00+00:00
274,185,1926-01-22 08:00:00+00:00,1945-03-14 16:00:00+00:00
275,121,1929-01-04 20:00:00+00:00,1945-06-26 12:00:00+00:00
276,767,1928-03-09 08:00:00+00:00,1945-08-20 16:00:00+00:00
277,1255,1929-01-25 16:00:00+00:00,1945-02-13 20:00:00+00:00
278,384,1926-02-20 12:00:00+00:00,1944-07-25 08:00:00+00:00
279,120,1926-02-20 08:00:00+00:00,1945-06-29 08:00:00+00:00
280,62,1927-01-08 08:00:00+00:00,1945-01-09 20:00:00+00:00
281,131,1931-02-06 16:00:00+00:00,1944-06-17 20:00:00+00:00
282,95,1934-04-20 12:00:00+00:00,1943-06-30 16:00:00+00:00
285,25,1926-01-29 08:00:00+00:00,1945-03-07 16:00:00+00:00
287,51,1929-03-07 16:00:00+00:00,1945-02-26 12:00:00+00:00
