,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,datetime
54,190800,0.7794189453125,9.693440422055346,17200,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 20:00:00
55,194400,0.77972412109375,9.683751264830676,17208,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 21:00:00
56,198000,0.780029296875,9.681329764392387,17210,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 22:00:00
57,201600,0.78094482421875,9.677698105068771,17213,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-31 23:00:00
58,205200,0.7806396484375,9.674067155111743,17216,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 00:00:00
59,208800,0.780029296875,9.67648770961091,17214,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 01:00:00
60,212400,0.78033447265625,9.668017147505566,17221,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 02:00:00
61,216000,0.77972412109375,9.665597695715292,17223,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 03:00:00
62,219600,0.7806396484375,9.655923036620777,17231,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 04:00:00
63,223200,0.7806396484375,9.652296337342534,17234,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 05:00:00
64,226800,0.78094482421875,9.651087594824446,17235,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-09-01 06:00:00
65,230400,0.78125,9.648670345592052,17237,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 07:00:00
66,234000,0.78216552734375,9.647461838858362,17238,-3.1910778385085905,32767,8486,0.09691780821917807,-10.711297024,3,2018-09-01 08:00:00
67,237600,0.7830810546875,9.642628597579858,17242,-3.1910778385085905,32767,8486,0.5621232876712329,-10.711297024,3,2018-09-01 09:00:00
68,241200,0.78338623046875,9.652296337342534,17234,-3.1910778385085905,32767,8487,1.4925342465753426,-10.711297024,3,2018-09-01 10:00:00
69,244800,0.7830810546875,9.653505158474786,17233,-3.1910778385085905,32767,8486,2.461712328767123,-10.711297024,3,2018-09-01 11:00:00
70,248400,0.78216552734375,9.659550443688943,17228,-3.1910778385085905,32767,8487,2.132191780821918,-10.711297024,3,2018-09-01 12:00:00
71,252000,0.78216552734375,9.649878930910916,17236,-3.1910778385085905,32767,8486,1.666986301369863,-10.711297024,3,2018-09-01 13:00:00
72,255600,0.78216552734375,9.663178558809477,17225,-3.1910778385085905,32767,8486,2.2291095890410957,-10.711297024,3,2018-09-01 14:00:00
73,259200,0.7818603515625,9.668017147505566,17221,-3.1910778385085905,32767,8486,1.666986301369863,-10.711297024,3,2018-09-01 15:00:00
74,262800,0.78216552734375,9.665597695715292,17223,-3.1910778385085905,32767,8486,0.17445205479452053,-10.711297024,3,2018-09-01 16:00:00
75,266400,0.782470703125,9.661969108413984,17226,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 17:00:00
77,64800,0.78887939453125,9.760190416739476,17145,-3.1910778385085905,32767,8486,0.8141095890410959,-10.711297024,4,2018-08-30 09:00:00
78,68400,0.78887939453125,9.765054321347066,17141,-3.1910778385085905,32767,8486,0.7753424657534246,-10.711297024,4,2018-08-30 10:00:00
79,72000,0.78887939453125,9.783305301100484,17126,-3.1910778385085905,32767,8486,0.9304109589041096,-10.711297024,4,2018-08-30 11:00:00
80,75600,0.7879638671875,9.766270496286722,17140,-3.1910778385085905,32767,8486,1.356849315068493,-10.711297024,3,2018-08-30 12:00:00
81,79200,0.78765869140625,9.756543322916116,17148,-3.1910778385085905,32767,8486,1.6282191780821917,-10.711297024,3,2018-08-30 13:00:00
82,82800,0.7867431640625,9.790610710552244,17120,-3.1910778385085905,32767,8486,1.6476027397260273,-10.711297024,3,2018-08-30 14:00:00
83,86400,0.78704833984375,9.74560633099918,17157,-3.1910778385085905,32767,8486,1.066095890410959,-10.711297024,4,2018-08-30 15:00:00
84,90000,0.78704833984375,9.741962095990914,17160,-3.1910778385085905,32767,8486,0.2326027397260274,-10.711297024,4,2018-08-30 16:00:00
85,93600,0.78704833984375,9.741962095990914,17160,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 17:00:00
86,97200,0.7843017578125,9.743176761642871,17159,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 18:00:00
87,100800,0.78369140625,9.765054321347066,17141,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 19:00:00
88,104400,0.7830810546875,9.762622210032816,17143,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 20:00:00
89,108000,0.782470703125,9.763838225932432,17142,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-30 21:00:00
90,111600,0.78216552734375,9.735889957599056,17165,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 22:00:00
91,115200,0.78216552734375,9.752896944195754,17151,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-30 23:00:00
92,118800,0.78155517578125,9.758974639326084,17146,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 00:00:00
93,122400,0.78033447265625,9.752896944195754,17151,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 01:00:00
94,126000,0.7806396484375,9.751681643487984,17152,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-31 02:00:00
95,129600,0.77972412109375,9.750466422196723,17153,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 03:00:00
96,133200,0.77880859375,9.74560633099918,17157,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 04:00:00
97,136800,0.7781982421875,9.740747509676567,17161,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 05:00:00
98,140400,0.7781982421875,9.735889957599056,17165,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 06:00:00
99,144000,0.77728271484375,9.740747509676567,17161,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-31 07:00:00
100,147600,0.77789306640625,9.741962095990914,17160,-3.1910778385085905,32767,8486,0.09691780821917807,-10.711297024,3,2018-08-31 08:00:00
101,151200,0.77911376953125,9.748036217824165,17155,-3.1910778385085905,32767,8486,0.3682876712328767,-10.711297024,3,2018-08-31 09:00:00
102,154800,0.77911376953125,9.746821234723143,17156,-3.1910778385085905,32767,8486,0.8334931506849315,-10.711297024,3,2018-08-31 10:00:00
103,158400,0.77972412109375,9.743176761642871,17159,-3.1910778385085905,32767,8486,0.8141095890410959,-10.711297024,3,2018-08-31 11:00:00
104,162000,0.7794189453125,9.744391506642387,17158,-3.1910778385085905,32767,8486,0.9691780821917809,-10.711297024,3,2018-08-31 12:00:00
105,165600,0.7794189453125,9.737104226661131,17164,-3.1910778385085905,32767,8486,0.7171917808219178,-10.711297024,3,2018-08-31 13:00:00
106,169200,0.77911376953125,9.74560633099918,17157,-3.1910778385085905,32767,8486,0.503972602739726,-10.711297024,3,2018-08-31 14:00:00
107,172800,0.7781982421875,9.738318575021594,17163,-3.1910778385085905,32767,8486,0.2326027397260274,-10.711297024,3,2018-08-31 15:00:00
108,176400,0.77789306640625,9.727392293690684,17172,-3.1910778385085905,32767,8486,0.09691780821917807,-10.711297024,3,2018-08-31 16:00:00
109,180000,0.77789306640625,9.672856996050939,17217,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 17:00:00
110,183600,0.77850341796875,9.67648770961091,17214,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 18:00:00
111,187200,0.77911376953125,9.684962133345834,17207,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 19:00:00
112,190800,0.7794189453125,9.693440422055346,17200,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 20:00:00
113,194400,0.77972412109375,9.683751264830676,17208,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 21:00:00
114,198000,0.780029296875,9.681329764392387,17210,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-08-31 22:00:00
115,201600,0.78094482421875,9.677698105068771,17213,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-08-31 23:00:00
116,205200,0.7806396484375,9.674067155111743,17216,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 00:00:00
117,208800,0.780029296875,9.67648770961091,17214,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 01:00:00
118,212400,0.78033447265625,9.668017147505566,17221,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 02:00:00
119,216000,0.77972412109375,9.665597695715292,17223,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 03:00:00
120,219600,0.7806396484375,9.655923036620777,17231,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 04:00:00
121,223200,0.7806396484375,9.652296337342534,17234,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 05:00:00
122,226800,0.78094482421875,9.651087594824446,17235,-3.1910778385085905,32767,8487,0.019383561643835617,-10.711297024,3,2018-09-01 06:00:00
123,230400,0.78125,9.648670345592052,17237,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 07:00:00
124,234000,0.78216552734375,9.647461838858362,17238,-3.1910778385085905,32767,8486,0.09691780821917807,-10.711297024,3,2018-09-01 08:00:00
125,237600,0.7830810546875,9.642628597579858,17242,-3.1910778385085905,32767,8486,0.5621232876712329,-10.711297024,3,2018-09-01 09:00:00
126,241200,0.78338623046875,9.652296337342534,17234,-3.1910778385085905,32767,8487,1.4925342465753426,-10.711297024,3,2018-09-01 10:00:00
127,244800,0.7830810546875,9.653505158474786,17233,-3.1910778385085905,32767,8486,2.461712328767123,-10.711297024,3,2018-09-01 11:00:00
128,248400,0.78216552734375,9.659550443688943,17228,-3.1910778385085905,32767,8487,2.132191780821918,-10.711297024,3,2018-09-01 12:00:00
129,252000,0.78216552734375,9.649878930910916,17236,-3.1910778385085905,32767,8486,1.666986301369863,-10.711297024,3,2018-09-01 13:00:00
130,255600,0.78216552734375,9.663178558809477,17225,-3.1910778385085905,32767,8486,2.2291095890410957,-10.711297024,3,2018-09-01 14:00:00
131,259200,0.7818603515625,9.668017147505566,17221,-3.1910778385085905,32767,8486,1.666986301369863,-10.711297024,3,2018-09-01 15:00:00
132,262800,0.78216552734375,9.665597695715292,17223,-3.1910778385085905,32767,8486,0.17445205479452053,-10.711297024,3,2018-09-01 16:00:00
133,266400,0.782470703125,9.661969108413984,17226,-3.1910778385085905,32767,8486,0.019383561643835617,-10.711297024,3,2018-09-01 17:00:00
