,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime
82,1544636237,0.02838134765625,8.492624288139666,18224,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:37:17
83,1544637462,0.028076171875,8.464260004191601,18249,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:57:42
84,1544638688,0.0286865234375,7.755872869237294,18886,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-12 18:18:08
85,1544639911,0.0286865234375,7.533576167381909,19091,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-12 18:38:31
86,1544641136,0.028076171875,7.544357764488893,19081,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 18:58:56
87,2375770,0.83587646484375,-3.2343465975750973,32767,25.086142605335965,8486,5461,-114.9445205479452,20.690376478,2,5,,,,,,,1970-01-28 11:56:10
88,2572373,0.9381103515625,-3.2343465975750973,32767,25.086142605335965,8486,5461,-114.9445205479452,4.623430942,2,5,,,,,,,1970-01-30 18:32:53
89,1544660447,0.025634765625,7.125334624746529,19474,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-13 00:20:47
90,1544661674,0.02532958984375,7.303289624490503,19306,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-13 00:41:14
91,1544662897,0.02532958984375,7.217274326902725,19387,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,5,40,,,,,,,2018-12-13 01:01:37
92,1544664266,0.02532958984375,7.208800831652752,19395,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-13 01:24:26
93,1544665489,0.0250244140625,7.1686051057295685,19433,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,5,40,,,,,,,2018-12-13 01:44:49
95,1544662897,0.02532958984375,7.217274326902725,19387,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,5,40,,,,,,,2018-12-13 01:01:37
96,1544664266,0.02532958984375,7.208800831652752,19395,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-13 01:24:26
97,1544665489,0.0250244140625,7.1686051057295685,19433,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,5,40,,,,,,,2018-12-13 01:44:49
98,1544666716,0.02471923828125,7.19186557631167,19411,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-13 02:05:16
99,2768978,0.936279296875,-3.2343465975750973,32767,25.086142605335965,8486,5461,-114.9445205479452,15.334727966,2,5,,,,,,,1970-02-02 01:09:38
100,1544671225,0.02471923828125,7.229991913914716,19375,-3.1910778385085905,32767,8486,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-13 03:20:25
101,2965583,0.87738037109375,-3.2343465975750973,32767,25.086142605335965,8486,5460,-114.9445205479452,15.334727966,2,5,,,,,,,1970-02-04 07:46:23
102,1544682047,0.0244140625,7.3726070312062575,19241,-3.1910778385085905,32767,8486,0.038767123287671235,-10.711297024,3,40,,,,,,,2018-12-13 06:20:47
104,1544636237,0.02838134765625,8.492624288139666,18224,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:37:17
105,1544637462,0.028076171875,8.464260004191601,18249,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 17:57:42
106,1544638688,0.0286865234375,7.755872869237294,18886,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-12 18:18:08
107,1544639911,0.0286865234375,7.533576167381909,19091,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-12 18:38:31
108,1544641136,0.028076171875,7.544357764488893,19081,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-12 18:58:56
