,YR,MO,DY,HR,LAT,LON,SLP,AT,SST,DCK,SID,PT,UID,RN1,RN2,RN3,RSA,IRF
45596,1946,2,4.0,,-62.0,27.3,969.2,2.2,,899,15,,0NCQNY,3,1,0,2,1
45597,1946,2,4.0,,-62.7,26.5,965.8,2.2,,899,15,,0NCQNX,3,1,0,2,1
45598,1946,2,4.0,,-64.2,47.6,984.8,-1.0,,899,15,,0NCQNV,3,1,0,2,1
45599,1946,2,5.0,,-61.6,29.5,,2.8,,899,15,,0NCRG9,3,1,0,2,1
45600,1946,2,5.0,,-61.6,313.3,966.8,,,899,15,,0NCRG6,3,1,0,2,1
45601,1946,2,5.0,,-62.2,27.3,964.4,1.1,,899,15,,0NCRG8,3,1,0,2,1
45602,1946,2,5.0,,-62.9,26.5,962.4,2.2,,899,15,,0NCRG7,3,1,0,2,1
45603,1946,2,5.0,,-64.3,47.0,986.8,2.8,,899,15,,0NCRG5,3,1,0,2,1
45604,1946,2,6.0,,-61.7,32.1,969.0,3.9,,899,15,,0NCS9L,3,1,0,2,1
45605,1946,2,6.0,,-61.7,313.6,977.0,0.6,,899,15,,0NCS9N,3,1,0,2,1
45606,1946,2,6.0,,-62.4,27.3,970.5,2.2,,899,15,,0NCS9P,3,1,0,2,1
45607,1946,2,6.0,,-63.1,25.8,971.2,1.1,,899,15,,0NCS9O,3,1,0,2,1
45608,1946,2,6.0,,-64.2,40.9,991.5,3.9,,899,15,,0NCS9M,3,1,0,2,1
45609,1946,2,7.0,,-61.3,32.7,976.0,2.2,,899,15,,0NCT3D,3,1,0,2,1
45610,1946,2,7.0,,-61.6,313.8,981.7,,,899,15,,0NCT3F,3,1,0,2,1
45611,1946,2,7.0,,-62.2,35.0,985.4,2.2,,899,15,,0NCT3E,3,1,0,2,1
45612,1946,2,7.0,,-63.1,27.9,986.1,1.7,,899,15,,0NCT3H,3,1,0,2,1
45613,1946,2,7.0,,-63.3,25.9,984.1,2.2,,899,15,,0NCT3G,3,1,0,2,1
45614,1946,2,8.0,,-60.8,32.5,989.0,0.6,,899,15,,0NCTX6,3,1,0,2,1
45615,1946,2,8.0,,-61.6,313.8,974.9,,,899,15,,0NCTX8,3,1,0,2,1
45616,1946,2,8.0,,-62.0,35.5,988.2,1.1,,899,15,,0NCTX7,3,1,0,2,1
45617,1946,2,8.0,,-62.9,28.0,988.2,1.1,,899,15,,0NCTXA,3,1,0,2,1
45618,1946,2,8.0,,-63.5,25.8,986.8,3.9,,899,15,,0NCTX9,3,1,0,2,1
45619,1946,2,8.0,15.0,-60.2,321.8,996.6,-1.7,,204,91,5.0,0NCUG7,3,1,0,2,1
45620,1946,2,8.0,23.0,-60.2,319.5,995.5,-3.3,,204,91,5.0,0NCUPM,3,1,0,2,1
45621,1946,2,9.0,,-60.7,32.4,974.0,1.1,,899,15,,0NCUQK,3,1,0,2,1
45622,1946,2,9.0,,-61.5,314.3,970.5,1.1,,899,15,,0NCUQM,3,1,0,2,1
45623,1946,2,9.0,,-61.6,34.3,988.8,3.9,,899,15,,0NCUQL,3,1,0,2,1
45624,1946,2,9.0,,-63.9,26.9,974.3,1.1,,899,15,,0NCUQN,3,1,0,2,1
45625,1946,2,9.0,,-64.7,27.7,979.3,1.1,,899,15,,0NCUQO,3,1,0,2,1
