time,IntegratedChlor_5t045,11m Prawler,24m Prawler,0m Eco,11m Eco,24m Eco,52m Eco
5/9/16 22:00,428.135115,15.46540451,10.1845055,8.17303,12.417,13.4219,0.372661
5/9/16 23:00,435.5024508,14.96712795,10.81517576,10.5577,12.5052,12.9771,0.347504
5/10/16 0:00,441.85221,14.35719646,11.51388005,7.0921,12.4287,13.9007,0.8351
5/10/16 1:00,448.2019691,13.74726498,12.21258434,9.49874,12.4229,13.7695,0.483
5/10/16 2:00,454.5517283,13.1373335,12.91128863,9.17633,12.968,13.9547,0.49167
5/10/16 3:00,445.3619506,14.30600013,15.0139743,10.1226,12.7364,13.2734,0.506422
5/10/16 4:00,447.0038864,13.22600013,13.70742257,10.0485,12.6042,13.166,0.50367
5/10/16 5:00,448.6458221,12.14600013,12.40087085,11.1611,11.526,12.2809,0.462
5/10/16 6:00,450.2877578,11.06600013,11.09431913,10.7351,10.3537,11.561,0.510496
5/10/16 7:00,429.6870624,11.13762126,11.29717157,10.1121,9.45678,10.956,0.465469
5/10/16 8:00,405.9088446,11.37375987,11.71565341,10.7225,9.62844,10.9833,0.519413
5/10/16 9:00,382.1306268,11.60989849,12.13413526,12.1445,10.5055,12.7668,0.505926
5/10/16 10:00,389.5570797,10.92728235,11.5277461,11.1174,11.1498,11.9746,0.556321
5/10/16 11:00,404.4603377,10.90535313,11.77539084,11.5894,10.9306,12.5094,0.455478
5/10/16 12:00,419.4371605,10.91822469,12.06676773,12.1621,10.7337,11.8979,0.440752
5/10/16 13:00,415.5711192,11.29089072,12.00643275,11.3585,10.6996,11.929,0.382321
5/10/16 14:00,411.2932387,11.6714206,11.93841057,11.5442,10.3177,12.121,0.491587
5/10/16 15:00,407.0153583,12.05195049,11.87038838,12.0529,10.7939,13.0612,0.576522
5/10/16 16:00,402.7374778,12.43248037,11.8023662,10.7855,11.4517,11.9849,0.524643
5/10/16 17:00,417.3256977,13.50146694,11.797,11.3017,11.6178,12.7114,0.409982
5/10/16 18:00,433.5297144,14.62941672,11.797,10.3578,11.7075,12.6688,0.551614
5/10/16 19:00,466.0337939,13.85341647,12.94883443,10.9572,11.9044,12.5422,0.528605
5/10/16 20:00,499.7752388,12.93288416,14.18810657,8.17568,12.0014,12.6337,0.742127
5/10/16 21:00,516.53694,13.36094222,13.51847982,9.78449,11.7721,12.8629,0.673266
5/10/16 22:00,531.0681125,13.96615663,12.5980923,7.38168,11.4505,12.4069,0.573413
5/10/16 23:00,481.40044,13.70945918,12.59676094,6.63834,11.5787,12.48,0.498165
5/11/16 0:00,427.2084856,13.39202026,12.66019818,8.75601,12.142,12.9946,0.370488
5/11/16 1:00,399.5586535,12.03874137,11.93597389,5.44425,11.5779,12.674,0.551779
5/11/16 2:00,373.1352706,10.63759875,11.17535361,5.00309,10.7701,10.823,0.60085
5/11/16 3:00,343.993769,9.291730393,10.25230202,5.81284,9.59152,9.46183,0.724902
5/11/16 4:00,305.9074145,8.127759969,8.794717439,6.33262,8.12022,8.4406,0.786413
5/11/16 5:00,187.7120953,4.40443816,4.765146458,7.68127,8.19678,8.77768,0.694429
5/11/16 6:00,68.97912044,0.663939127,0.718313452,8.12947,7.69801,8.14571,0.621662
5/11/16 7:00,149.9234204,3.785095043,3.61529165,7.98438,7.40548,7.51133,0.5113
5/11/16 8:00,273.9592121,8.387035126,8.010783801,8.18731,7.73425,8.99334,0.507083
5/11/16 9:00,307.4205907,9.163646002,8.81258802,8.59025,8.22179,9.76849,0.419894
5/11/16 10:00,327.975601,9.395167973,9.102310974,13.4709,8.99247,10.4413,0.513354
5/11/16 11:00,348.5306113,9.626689944,9.392033928,12.6209,9.205,10.3418,0.474308
5/11/16 12:00,369.0856216,9.858211915,9.681756882,11.5752,9.11093,10.0921,0.553842
5/11/16 13:00,389.802491,12.28628842,10.17102181,10.3395,8.88735,10.532,0.559571
5/11/16 14:00,410.5235106,14.7706872,10.66540323,10.6688,8.91809,11.5939,0.610677
5/11/16 15:00,435.5118006,13.74417618,11.79510239,11.3547,9.74715,11.7424,0.497587
5/11/16 16:00,461.0081313,12.29967305,13.00043943,11.361,10.427,12.6936,0.428481
5/11/16 17:00,419.8809047,11.6654696,11.76937401,8.50386,11.2686,12.7203,0.47576
5/11/16 18:00,370.9374937,11.12632939,10.25247319,4.71031,11.2048,11.6832,0.377481
5/11/16 19:00,365.2839555,10.57644558,9.965010692,6.74655,10.2831,11.6812,0.387638
5/11/16 20:00,363.5086948,10.02559927,9.787691802,4.33616,9.93219,10.8108,0.461008
5/11/16 21:00,360.1644413,9.75419001,9.317237803,3.10354,9.49031,9.97916,0.484181
5/11/16 22:00,356.5782234,9.525874495,8.801577589,2.30861,8.5639,8.94929,0.555602
5/11/16 23:00,374.3402025,10.41292218,9.285657875,2.04265,7.6054,9.09844,0.548835
5/12/16 0:00,393.3779241,11.36662263,9.829481444,2.88739,8.12196,10.1884,0.441331
5/12/16 1:00,383.3332029,10.6389359,9.512600711,3.80607,9.11189,11.0889,0.490925
5/12/16 2:00,369.7144014,9.704615462,9.089943916,3.66101,10.9693,10.1214,0.473173
5/12/16 3:00,322.0878852,8.914161098,8.186879346,5.13702,9.65966,8.98717,0.674444
5/12/16 4:00,270.7641885,8.139347269,7.231586793,5.73153,8.4978,6.84875,0.863067
5/12/16 5:00,250.5560638,7.415104431,6.048196969,6.96758,7.62513,6.29031,0.802902
5/12/16 6:00,237.502296,6.702489305,4.812361079,7.3992,7.06302,5.56272,0.885602
5/12/16 7:00,214.2946824,5.503848385,4.444548238,6.95936,6.79002,5.35221,0.723083
5/12/16 8:00,188.8958108,4.200320318,4.264059736,6.73714,6.37093,4.6927,2.00102
5/12/16 9:00,209.3614401,4.774834357,4.692705041,6.71481,5.60007,4.28726,0.379571
5/12/16 10:00,236.2132757,5.610848343,5.206166579,9.09042,6.14671,4.77474,0.407669
5/12/16 11:00,269.2959343,6.496739326,7.483707949,10.0666,8.06101,7.12048,0.525744
5/12/16 12:00,302.5639503,7.384114074,9.813727985,9.6828,8.65867,7.84252,0.653775
5/12/16 13:00,303.3422062,8.380284336,6.630647342,10.2791,9.30525,8.26572,0.562158
5/12/16 14:00,300.1844487,9.38963477,2.779675065,11.2662,10.5326,10.0568,0.459308
5/12/16 15:00,332.7421104,9.363425562,5.636233377,13.734,10.7855,10.4266,0.646594
5/12/16 16:00,370.2728134,9.193024269,9.426753172,14.5005,11.0735,11.3334,0.582083
5/12/16 17:00,360.6168574,9.35218673,9.571355239,12.5829,11.3334,10.8293,0.529323
5/12/16 18:00,340.249807,9.586158228,8.888355384,4.70579,11.0254,9.55256,0.558
5/12/16 19:00,324.2313954,8.657785472,8.099122089,3.3176,11.2712,9.08019,0.429473
5/12/16 20:00,308.7765204,7.578785472,7.296122089,2.68501,11.5491,7.98373,0.439594
5/12/16 21:00,299.0553386,8.944844623,6.52113581,2.35416,10.679,7.78826,1.23476
5/12/16 22:00,290.0771814,10.627757,5.749779808,1.98332,9.88745,8.18312,0.451158
5/12/16 23:00,319.7599306,10.86851211,6.148700716,1.87339,10.7826,9.09079,0.541346
5/13/16 0:00,352.957316,10.97816171,6.654010689,1.81394,12.7825,9.69725,0.559263
5/13/16 1:00,344.1861603,10.31057935,6.474486119,1.60584,13.2718,9.78363,0.585
5/13/16 2:00,328.3293962,9.511775812,6.17933996,2.03117,13.5142,9.66117,0.558767
5/13/16 3:00,292.0549228,9.623034472,5.425275562,3.36967,13.0051,7.68312,0.63776
5/13/16 4:00,251.0686644,9.944307742,4.565306826,3.33167,8.20235,5.38598,0.747189
5/13/16 5:00,251.1420171,9.208010468,4.804133078,5.77706,8.91001,5.33056,0.808181
5/13/16 6:00,258.0231915,8.296364442,5.225143234,9.32164,11.5159,4.52794,1.07301
5/13/16 7:00,254.954876,7.948984308,4.540453378,7.88307,12.021,5.42131,0.954473
5/13/16 8:00,250.2855275,7.692403635,3.6778386,7.66691,12.2937,5.61767,0.886323
5/13/16 9:00,234.5801658,6.239219591,3.55227098,8.3644,11.5637,4.42721,0.681804
5/13/16 10:00,218.3614988,4.730379324,3.460984778,9.4144,9.60595,4.10427,0.456662
5/13/16 11:00,264.0843389,5.244115234,8.293841646,11.4032,8.58844,3.57993,0.468933
5/13/16 12:00,329.4571401,6.399481371,14.68880484,10.4931,8.14145,4.60137,0.536917
5/13/16 13:00,348.7329207,6.381105792,14.15725604,10.3319,16.7868,8.06123,0.684933
5/13/16 14:00,338.3297733,5.607032873,9.166168479,10.8118,20.4568,8.016,0.961865
5/13/16 15:00,366.0622264,6.945302351,8.718673733,10.8186,20.2355,8.87936,0.716563
5/13/16 16:00,401.8529534,8.729922043,9.231266532,9.1903,20.9753,9.554,0.604323
5/13/16 17:00,392.8732973,9.189805511,8.498953201,4.08894,21.758,8.85615,0.625158
5/13/16 18:00,375.5240912,9.402037622,7.533912262,3.19212,17.1596,9.34764,0.694015
5/13/16 19:00,358.1748851,9.614269733,6.568871324,3.40073,14.6146,7.54868,0.557811
5/13/16 20:00,340.825679,9.826501844,5.603830385,3.16188,18.0815,6.46181,0.50315
5/13/16 21:00,331.7462604,9.061311818,5.757614175,3.06828,16.8017,5.88833,0.602917
5/13/16 22:00,323.1843157,8.23496056,5.981407326,3.1522,14.2854,5.47216,0.602858
5/13/16 23:00,314.622371,7.408609302,6.205200477,4.95911,15.2514,5.85828,0.562737
5/14/16 0:00,306.0604263,6.582258045,6.428993627,5.6686,16.0895,5.72333,0.617894
5/14/16 1:00,316.6803818,7.650329751,7.095244126,7.74886,11.1913,6.69069,0.73409
5/14/16 2:00,329.3922683,8.925002596,7.809747942,8.92613,9.56104,6.86038,0.574985
5/14/16 3:00,307.6412232,9.12465002,6.408006719,9.94022,11.5028,8.15339,0.646677
5/14/16 4:00,280.4603175,9.154920147,4.672837228,8.74519,11.5101,5.47888,0.666992
5/14/16 5:00,267.3483524,9.243010405,3.921490622,12.0911,11.2552,4.89621,0.855602
5/14/16 6:00,258.5315511,9.348752805,3.470499288,13.0651,12.7853,4.52109,0.902752
5/14/16 7:00,256.0132095,10.12935784,3.419619199,13.6086,12.977,4.31713,0.928181
5/14/16 8:00,254.3969354,11.00661694,3.426043182,14.5454,12.0019,4.76148,0.929008
5/14/16 9:00,252.7806613,11.88387604,3.432467165,14.4712,12.6589,4.30491,1.00407
5/14/16 10:00,251.1643872,12.76113514,3.438891148,13.4216,11.8589,4.13477,0.802737
5/14/16 11:00,239.6256104,11.96916315,3.394224988,11.7234,11.2658,4.242,0.573473
5/14/16 12:00,227.9158021,11.14841907,3.348678201,10.925,10.5885,3.81973,0.667264
5/14/16 13:00,285.3038051,10.33145312,5.2950964,11.4245,10.5165,6.29987,0.714165
5/14/16 14:00,363.8524119,9.515644193,7.851536546,14.6811,13.1895,7.42549,1.10655
5/14/16 15:00,425.9440439,12.4894996,9.343196647,16.4208,15.6781,10.6085,1.21387
5/14/16 16:00,484.2171117,16.34268289,10.58779244,13.4489,16.7596,12.4839,1.19042
5/14/16 17:00,455.0424141,14.60966922,9.457186746,7.52912,16.59,13.5078,0.991796
5/14/16 18:00,419.8439766,12.49185672,8.162967998,5.19875,15.6909,12.1966,1.00519
5/14/16 19:00,396.8313709,15.86264349,7.375337827,3.87894,14.8831,8.47769,0.740233
5/14/16 20:00,376.8230326,20.58657713,6.71260086,2.87231,14.0929,8.62058,0.688263
5/14/16 21:00,372.3600635,19.63207928,6.477486546,2.34932,13.9723,7.24609,0.705437
5/14/16 22:00,369.1273075,18.22820765,6.276212985,2.25504,14.1264,7.0553,0.737113
5/14/16 23:00,346.9513434,16.39733172,6.000801622,2.20586,12.8924,6.90477,0.714413
5/15/16 0:00,318.310402,14.42072687,5.700088355,2.17608,11.9926,8.26071,0.713233
5/15/16 1:00,357.838184,13.9515772,7.321054276,2.09547,12.0903,7.96988,0.848338
5/15/16 2:00,397.8426862,13.49296953,8.955458958,3.27547,12.0755,10.4069,0.836954
5/15/16 3:00,378.3390104,15.88390701,8.205688682,4.56544,12.3821,9.87954,0.978
5/15/16 4:00,349.0135777,18.74515867,7.062413051,6.82408,12.8,9.28687,0.704398
5/15/16 5:00,314.7013346,16.58958319,5.574082459,12.7724,11.5159,7.14743,0.623729
5/15/16 6:00,280.2916421,14.33597164,4.079008994,13.5599,10.8602,6.33508,0.611256
