sampletime,argosid,latitude,longitude,BP,AT,BV,RH,WS,WD,SR,AZ
2019-02-02 16:40:00,,,,,,,,,,,
2019-02-02 16:50:00,,,,,,,,,,,
2019-02-02 17:00:00,28882.0,47.68712,122.27048,1002.3529411764706,7.700000000000002,12.0,89.0,0.8,63.53240152477763,82.3542330075766,271.07157983905125
2019-02-02 17:10:00,,,,,,,,,,,
2019-02-02 17:20:00,,,,,,,,,,,
2019-02-02 17:30:00,,,,,,,,,,,
2019-02-02 17:40:00,,,,,,,,,,,
2019-02-02 17:50:00,,,,,,,,,,,
2019-02-02 18:00:00,28882.0,47.68542,122.27232,1002.3529411764706,9.4,12.0,85.0,1.9,162.36058167443173,384.3197540353575,271.07157983905125
2019-02-02 18:10:00,,,,,,,,,,,
2019-02-02 18:20:00,,,,,,,,,,,
2019-02-02 18:30:00,,,,,,,,,,,
2019-02-02 18:40:00,,,,,,,,,,,
2019-02-02 18:50:00,,,,,,,,,,,
2019-02-02 19:00:00,28882.0,,,1001.1764705882354,9.0,12.0,83.0,1.0,179.3025554143724,148.23761941363787,271.07157983905125
2019-02-02 19:10:00,,,,,,,,,,,
2019-02-02 19:20:00,,,,,,,,,,,
2019-02-02 19:30:00,,,,,,,,,,,
2019-02-02 19:40:00,,,,,,,,,,,
2019-02-02 19:50:00,,,,,,,,,,,
2019-02-02 20:00:00,,,,,,,,,,,
2019-02-02 20:10:00,,,,,,,,,,,
2019-02-02 20:20:00,,,,,,,,,,,
2019-02-02 20:30:00,,,,,,,,,,,
2019-02-02 20:40:00,,,,,,,,,,,
2019-02-02 20:50:00,,,,,,,,,,,
2019-02-02 21:00:00,,,,,,,,,,,
2019-02-02 21:10:00,,,,,,,,,,,
2019-02-02 21:20:00,,,,,,,,,,,
2019-02-02 21:30:00,,,,,,,,,,,
2019-02-02 21:40:00,,,,,,,,,,,
2019-02-02 21:50:00,,,,,,,,,,,
2019-02-02 22:00:00,,,,,,,,,,,
2019-02-02 22:10:00,,,,,,,,,,,
2019-02-02 22:20:00,,,,,,,,,,,
2019-02-02 22:30:00,,,,,,,,,,,
2019-02-02 22:40:00,,,,,,,,,,,
2019-02-02 22:50:00,,,,,,,,,,,
2019-02-02 23:00:00,,,,,,,,,,,
2019-02-02 23:10:00,,,,,,,,,,,
2019-02-02 23:20:00,,,,,,,,,,,
2019-02-02 23:30:00,,,,,,,,,,,
2019-02-02 23:40:00,,,,,,,,,,,
2019-02-02 23:50:00,,,,,,,,,,,
2019-02-03 00:00:00,28882.0,,,997.6470588235294,7.899999999999999,12.0,78.0,3.0,312.01468304390795,87.8445152080817,271.07157983905125
2019-02-03 00:10:00,,,,,,,,,,,
2019-02-03 00:20:00,,,,,,,,,,,
2019-02-03 00:30:00,,,,,,,,,,,
2019-02-03 00:40:00,,,,,,,,,,,
2019-02-03 00:50:00,,,,,,,,,,,
2019-02-03 01:00:00,28882.0,,,997.6470588235294,6.899999999999999,12.0,79.0,4.2,327.5448256388536,5.490282200505106,271.07157983905125
2019-02-03 01:10:00,,,,,,,,,,,
2019-02-03 01:20:00,,,,,,,,,,,
2019-02-03 01:30:00,,,,,,,,,,,
2019-02-03 01:40:00,,,,,,,,,,,
2019-02-03 01:50:00,,,,,,,,,,,
2019-02-03 02:00:00,,,,,,,,,,,
2019-02-03 02:10:00,,,,,,,,,,,
2019-02-03 02:20:00,,,,,,,,,,,
2019-02-03 02:30:00,,,,,,,,,,,
2019-02-03 02:40:00,,,,,,,,,,,
2019-02-03 02:50:00,,,,,,,,,,,
2019-02-03 03:00:00,28882.0,47.68354,122.25983,996.470588235294,6.0,12.0,79.0,3.5,328.9566567838486,0.0,271.07157983905125
2019-02-03 03:10:00,,,,,,,,,,,
2019-02-03 03:20:00,,,,,,,,,,,
2019-02-03 03:30:00,,,,,,,,,,,
2019-02-03 03:40:00,,,,,,,,,,,
2019-02-03 03:50:00,,,,,,,,,,,
2019-02-03 04:00:00,28882.0,,,996.470588235294,5.799999999999998,12.0,79.0,2.8,310.6028518989129,0.0,271.07157983905125
2019-02-03 04:10:00,,,,,,,,,,,
2019-02-03 04:20:00,,,,,,,,,,,
2019-02-03 04:30:00,,,,,,,,,,,
2019-02-03 04:40:00,,,,,,,,,,,
2019-02-03 04:50:00,,,,,,,,,,,
2019-02-03 05:00:00,,,,,,,,,,,
2019-02-03 05:10:00,,,,,,,,,,,
2019-02-03 05:20:00,,,,,,,,,,,
2019-02-03 05:30:00,,,,,,,,,,,
2019-02-03 05:40:00,,,,,,,,,,,
2019-02-03 05:50:00,,,,,,,,,,,
2019-02-03 06:00:00,28882.0,,,995.2941176470587,5.399999999999999,12.0,76.0,2.9,327.5448256388536,0.0,271.07157983905125
2019-02-03 06:10:00,,,,,,,,,,,
2019-02-03 06:20:00,,,,,,,,,,,
2019-02-03 06:30:00,,,,,,,,,,,
2019-02-03 06:40:00,,,,,,,,,,,
2019-02-03 06:50:00,,,,,,,,,,,
2019-02-03 07:00:00,,,,,,,,,,,
2019-02-03 07:10:00,,,,,,,,,,,
2019-02-03 07:20:00,,,,,,,,,,,
2019-02-03 07:30:00,,,,,,,,,,,
2019-02-03 07:40:00,,,,,,,,,,,
2019-02-03 07:50:00,,,,,,,,,,,
2019-02-03 08:00:00,,,,,,,,,,,
2019-02-03 08:10:00,,,,,,,,,,,
2019-02-03 08:20:00,,,,,,,,,,,
2019-02-03 08:30:00,,,,,,,,,,,
2019-02-03 08:40:00,,,,,,,,,,,
2019-02-03 08:50:00,,,,,,,,,,,
2019-02-03 09:00:00,,,,,,,,,,,
2019-02-03 09:10:00,,,,,,,,,,,
2019-02-03 09:20:00,,,,,,,,,,,
2019-02-03 09:30:00,,,,,,,,,,,
2019-02-03 09:40:00,,,,,,,,,,,
2019-02-03 09:50:00,,,,,,,,,,,
2019-02-03 10:00:00,,,,,,,,,,,
2019-02-03 10:10:00,,,,,,,,,,,
2019-02-03 10:20:00,,,,,,,,,,,
2019-02-03 10:30:00,,,,,,,,,,,
2019-02-03 10:40:00,,,,,,,,,,,
2019-02-03 10:50:00,,,,,,,,,,,
2019-02-03 11:00:00,,,,,,,,,,,
2019-02-03 11:10:00,,,,,,,,,,,
2019-02-03 11:20:00,,,,,,,,,,,
2019-02-03 11:30:00,,,,,,,,,,,
2019-02-03 11:40:00,,,,,,,,,,,
2019-02-03 11:50:00,,,,,,,,,,,
2019-02-03 12:00:00,28882.0,,,992.9411764705884,4.299999999999997,12.0,81.0,1.1,155.30142594945644,0.0,271.07157983905125
2019-02-03 12:10:00,,,,,,,,,,,
2019-02-03 12:20:00,,,,,,,,,,,
2019-02-03 12:30:00,,,,,,,,,,,
2019-02-03 12:40:00,,,,,,,,,,,
2019-02-03 12:50:00,,,,,,,,,,,
2019-02-03 13:00:00,,,,,,,,,,,
2019-02-03 13:10:00,,,,,,,,,,,
2019-02-03 13:20:00,,,,,,,,,,,
2019-02-03 13:30:00,,,,,,,,,,,
2019-02-03 13:40:00,,,,,,,,,,,
2019-02-03 13:50:00,,,,,,,,,,,
2019-02-03 14:00:00,28882.0,,,992.9411764705884,3.899999999999999,12.0,85.0,1.3,145.41860793449104,0.0,271.07157983905125
2019-02-03 14:10:00,,,,,,,,,,,
2019-02-03 14:20:00,,,,,,,,,,,
2019-02-03 14:30:00,,,,,,,,,,,
2019-02-03 14:40:00,,,,,,,,,,,
2019-02-03 14:50:00,,,,,,,,,,,
2019-02-03 15:00:00,28882.0,,,992.9411764705884,4.299999999999997,12.0,84.0,2.9,158.1250882394465,0.0,271.07157983905125
2019-02-03 15:10:00,,,,,,,,,,,
2019-02-03 15:20:00,,,,,,,,,,,
2019-02-03 15:30:00,,,,,,,,,,,
2019-02-03 15:40:00,,,,,,,,,,,
