ep_dec,profilenumber,ep,CD,CT,CC,OT,02,CH,TB,ep_dec,S,O2_corr,O2_corr_umkg,O2PercentSat,dep_lat,dep_lon
2019-08-18 22:20:12,1,5D59CF1C,0.042699999999999995,0.008599,0.00327,0.008605,3.6319,0.2806,0.0741,1566166812,0.00037159200274479963,3.631890682966381,3.6324584317503565,0.7950324364046899,71.2167,-164.25
2019-08-18 22:20:20,1,5D59CF24,0.0417,0.008599,0.0032689999999999998,0.008605,3.6308999999999996,0.24400000000000002,0.0988,1566166820,0.00037080008038379783,3.63089070538232,3.6314583186948797,0.7948135377790078,71.2167,-164.25
2019-08-18 22:20:28,1,5D59CF2C,0.0421,0.0086,0.00327,0.008605999999999999,3.6304000000000003,0.21960000000000002,0.0247,1566166828,0.0003715927254872523,3.6303906867963454,3.6309582119326524,0.7947041074350221,71.2167,-164.25
2019-08-18 22:20:36,1,5D59CF34,0.0426,0.0086,0.00327,0.008605999999999999,3.6301,0.24400000000000002,0.0247,1566166836,0.000371592698691808,3.630090687566618,3.6306581565686127,0.7946384346252635,71.2167,-164.25
2019-08-18 22:20:44,1,5D59CF3C,0.042300000000000004,0.008601000000000001,0.00327,0.008607000000000002,3.6310000000000002,0.2806,0.0247,1566166844,0.0003715934053569684,3.6309906852401777,3.6315583002280953,0.7948354707477829,71.2167,-164.25
2019-08-18 22:20:52,1,5D59CF44,0.0421,0.008601000000000001,0.00327,0.008607000000000002,3.6302,0.2318,0.0741,1566166852,0.000371593416075143,3.6301906872921834,3.6307581809150733,0.7946603494474508,71.2167,-164.25
2019-08-18 22:21:00,1,5D59CF4C,0.0425,0.008601000000000001,0.00327,0.008607000000000002,3.6316,0.25620000000000004,0.0494,1566166860,0.00037159339463879205,3.631590683701241,3.632158388787822,0.7949668115206344,71.2167,-164.25
2019-08-18 22:21:08,1,5D59CF54,0.04190000000000001,0.008603,0.00327,0.008607000000000002,3.6292,0.25620000000000004,0.0247,1566166868,0.0003715948079690192,3.629190689822809,3.629758030317312,0.7944414926838888,71.2167,-164.25
2019-08-18 22:21:16,1,5D59CF5C,0.0417,0.008602,0.00327,0.008608,3.6294999999999997,0.2684,0.0247,1566166876,0.00037159412809935864,3.62949068907016,3.6300580804048743,0.7945071417526324,71.2167,-164.25
2019-08-18 22:21:24,1,5D59CF64,0.042300000000000004,0.008605,0.00327,0.008608,3.63,0.24400000000000002,0.0,1566166884,0.00037159616770827616,3.6299906877366075,3.6305581454068405,0.7946166582605765,71.2167,-164.25
2019-08-18 22:21:32,1,5D59CF6C,0.042300000000000004,0.008607000000000002,0.00327,0.008607000000000002,3.6291,0.24400000000000002,0.0247,1566166892,0.0003715975488837748,3.629090690010986,3.6296580064928667,0.7944196909291107,71.2167,-164.25
2019-08-18 22:21:40,1,5D59CF74,0.0417,0.008602,0.00327,0.008608,3.6288,0.25620000000000004,0.0741,1566166900,0.00037159412809935864,3.628790690865904,3.6293579727712384,0.7943539099027284,71.2167,-164.25
2019-08-18 22:21:48,1,5D59CF7C,0.04190000000000001,0.008605,0.00327,0.008607000000000002,3.6288,0.2318,0.0741,1566166908,0.0003715961891446202,3.6287906908145047,3.6293579682820396,0.7943539766838249,71.2167,-164.25
2019-08-18 22:21:56,1,5D59CF84,0.041100000000000005,0.008603,0.00327,0.008607000000000002,3.6283999999999996,0.2074,0.0494,1566166916,0.0003715948508417194,3.6283906918740167,3.628957922078842,0.7942663737966916,71.2167,-164.25
2019-08-18 22:22:04,1,5D59CF8C,0.041299999999999996,0.008603999999999999,0.00327,0.008608,3.628,0.2074,0.0,1566166924,0.0003715955307113574,3.627990692883208,3.6285578566151617,0.7941788344537426,71.2167,-164.25
2019-08-18 22:22:12,1,5D59CF94,0.0409,0.008609,0.00327,0.008608,3.6283,0.2684,0.0,1566166932,0.00037159900508635865,3.6282906920269626,3.6288579088027406,0.7942446194992842,71.2167,-164.25
2019-08-18 22:22:20,1,5D59CF9C,0.04,0.008609,0.00327,0.008611,3.628,0.24400000000000002,0.0494,1566166940,0.0003715990533181262,3.627990692795369,3.6285578792879822,0.7941789523285016,71.2167,-164.25
2019-08-18 22:22:28,1,5D59CFA4,0.0395,0.008612,0.00327,0.008612999999999999,3.6277,0.21960000000000002,0.0,1566166948,0.0003716011518764169,3.6276906935126605,3.6282578415907203,0.7941133511101903,71.2167,-164.25
2019-08-18 22:22:36,1,5D59CFAC,0.0391,0.008612,0.0032710000000000005,0.008616,3.6268000000000002,0.24400000000000002,0.0988,1566166956,0.00037239316446509643,3.62679067599107,3.6273576883757706,0.7939163403339762,71.2167,-164.25
2019-08-18 22:22:44,1,5D59CFB4,0.0387,0.008615,0.0032710000000000005,0.008617000000000001,3.6268000000000002,0.24400000000000002,0.0741,1566166964,0.0003723952575471843,3.6267906759388975,3.6273576949620616,0.7939164095010307,71.2167,-164.25
2019-08-18 22:22:52,1,5D59CFBC,0.0383,0.008616,0.0032710000000000005,0.008619,3.6277,0.2318,0.0,1566166972,0.0003723959695367037,3.6276906736073538,3.6282578404740735,0.7941134460935911,71.2167,-164.25
2019-08-18 22:23:00,1,5D59CFC4,0.0383,0.008617000000000001,0.0032710000000000005,0.008621,3.6268000000000002,0.2684,0.0494,1566166980,0.0003723966600828795,3.626790675903937,3.6273577018135903,0.7939164561507919,71.2167,-164.25
2019-08-18 22:23:08,1,5D59CFCC,0.037599999999999995,0.008618,0.0032710000000000005,0.008621,3.6258999999999997,0.21960000000000002,0.0,1566166988,0.00037239738815482426,3.6258906781995885,3.6264575760685456,0.7937194690226672,71.2167,-164.25
2019-08-18 22:23:16,1,5D59CFD4,0.0398,0.008617000000000001,0.0032710000000000005,0.008622,3.6258999999999997,0.25620000000000004,0.0741,1566166996,0.00037239657967047014,3.625890678219748,3.6264575357427566,0.7937194376297181,71.2167,-164.25
2019-08-18 22:23:24,1,5D59CFDC,0.0453,0.00861,0.00327,0.008617000000000001,3.6275,0.25620000000000004,0.0494,1566167004,0.00037159945987434197,3.6274906940679563,3.6280577043069897,0.7940695021009512,71.2167,-164.25
2019-08-18 22:23:32,1,5D59CFE4,0.051,0.008605,0.00327,0.008612999999999999,3.6281,0.2684,0.0494,1566167012,0.0003715957014679902,3.628090692622473,3.628657692648443,0.7942007080627238,71.2167,-164.25
2019-08-18 22:23:40,1,5D59CFEC,0.0575,0.008612999999999999,0.0032710000000000005,0.008626,3.627,0.2074,0.0494,1566167020,0.00037239286861973954,3.6269906754843824,3.6275573792733242,0.793960069092075,71.2167,-164.25
2019-08-18 22:23:48,1,5D59CFF4,0.0636,0.008642,0.0032749999999999997,0.008648999999999999,3.6257,0.24400000000000002,-0.0247,1566167028,0.00037558068217155224,3.6256905990363744,3.6262569704819905,0.7936761239507597,71.2167,-164.25
2019-08-18 22:23:56,1,5D59CFFC,0.067,0.008634000000000001,0.0032760000000000003,0.008641,3.6274,0.25620000000000004,0.0,1566167036,0.0003763670447359587,3.627390574935633,3.627957148789068,0.7940480649699726,71.2167,-164.25
2019-08-18 22:24:04,1,5D59D004,0.0708,0.008637,0.0032760000000000003,0.008641,3.6283999999999996,0.24400000000000002,0.0247,1566167044,0.0003763689117122562,3.6283905722908054,3.6289572314276555,0.794267020014071,71.2167,-164.25
2019-08-18 22:24:12,1,5D59D00C,0.0756,0.008631999999999999,0.0032769999999999995,0.008637,3.6283999999999996,0.2684,0.0,1566167052,0.00037715728597512155,3.6283905525423554,3.6289571219175243,0.794266888032492,71.2167,-164.25
2019-08-18 22:24:20,1,5D59D014,0.08199999999999999,0.008582000000000001,0.0032739999999999996,0.008587,3.6332,0.2806,0.0741,1566167060,0.0003747462172764941,3.6331906005153707,3.633757820625306,0.7953164675556188,71.2167,-164.25
2019-08-18 22:24:28,1,5D59D01C,0.0906,0.008556000000000001,0.0032739999999999996,0.008558999999999999,3.6351,0.2806,-0.0247,1566167068,0.0003747278047769066,3.635090596059884,3.6356579601760095,0.7957317606610146,71.2167,-164.25
2019-08-18 22:24:36,1,5D59D024,0.0978,0.008539,0.0032730000000000003,0.008563,3.6376,0.24400000000000002,0.0,1566167076,0.00037392364103019937,3.637590609785746,3.6381582374266515,0.7962786032794087,71.2167,-164.25
2019-08-18 22:24:44,1,5D59D02C,0.1079,0.008562000000000002,0.0032760000000000003,0.00857,3.637,0.2928,0.0247,1566167084,0.0003763151440802845,3.6369905512894247,3.6375578855147586,0.7961477405579587,71.2167,-164.25
2019-08-18 22:24:52,1,5D59D034,0.11199999999999999,0.008490000000000001,0.0032710000000000005,0.008502000000000001,3.6479000000000004,0.2684,0.0,1566167092,0.00037230500955337704,3.6478906239563313,3.648459612246071,0.7985321282998136,71.2167,-164.25
2019-08-18 22:25:00,1,5D59D03C,0.12029999999999999,0.008549,0.00328,0.008551999999999999,3.6442,0.25620000000000004,0.0,1566167100,0.00037947394302328095,3.6441904531135845,3.6447586742145277,0.797723493009489,71.2167,-164.25
2019-08-18 22:25:08,1,5D59D044,0.1319,0.008556000000000001,0.0032839999999999996,0.008563,3.6438,0.31720000000000004,0.0247,1566167108,0.0003826468378064392,3.64379037434655,3.644358306703902,0.7976360436008375,71.2167,-164.25
2019-08-18 22:25:16,1,5D59D04C,0.13970000000000002,0.0072970000000000005,0.003201,0.006704,3.8168,0.31720000000000004,0.0,1566167116,0.00031607488952684233,3.8167916714070365,3.8173869522149952,0.8354762627288246,71.2167,-164.25
2019-08-18 22:25:24,1,5D59D054,0.1467,0.005415,0.003091,0.005705,4.1667000000000005,0.31720000000000004,0.0,1566167124,0.00022785719329405582,4.166693445430222,4.167343984964326,0.9120187008493926,71.2167,-164.25
2019-08-18 22:25:32,1,5D59D05C,0.1563,0.0044610000000000006,0.003012,0.004849999999999999,4.4426,0.3538,0.0494,1566167132,0.00016489514639431851,4.44259494247704,4.443288859399926,0.9723820836458859,71.2167,-164.25
2019-08-18 22:25:40,1,5D59D064,0.16519999999999999,0.003309,0.002924,0.0034360000000000003,4.6777999999999995,0.305,0.0988,1566167140,9.481965310523775e-05,4.677796937775099,4.678528016723333,1.0238284007261809,71.2167,-164.25
2019-08-18 22:25:48,1,5D59D06C,0.1751,0.0020909999999999995,0.0028239999999999997,0.002355,4.9083,0.305,0.0494,1566167148,1.5415943293730847e-05,4.908299477600415,4.909067061271839,1.0742406777773656,71.2167,-164.25
2019-08-18 22:25:56,1,5D59D074,0.19030000000000002,0.0008070000000000001,0.00272,0.001036,5.1152999999999995,0.305,0.0,1566167156,-6.698217248437763e-05,5.115302365575154,,,71.2167,-164.25
2019-08-18 22:26:04,1,5D59D07C,0.2036,-2.6000000000000002e-05,0.0026660000000000004,0.000337,5.2604,0.4514,0.0494,1566167164,-0.00010980337593060642,5.2604039878973134,,,71.2167,-164.25
2019-08-18 22:26:12,1,5D59D084,0.21489999999999998,7.2e-05,0.0026680000000000002,0.000303,5.2595,0.61,0.0988,1566167172,-0.00010817084107194418,5.259503927930656,,,71.2167,-164.25
2019-08-18 22:26:20,1,5D59D08C,0.2227,-0.00031800000000000003,0.002641,-0.000124,5.2807,0.6832,0.0247,1566167180,-0.00012954207234534831,5.280704722945482,,,71.2167,-164.25
2019-08-18 22:26:28,1,5D59D094,0.235,-0.000628,0.0026210000000000005,-0.00043599999999999997,5.3003,0.915,0.0494,1566167188,-0.0001453786465210119,5.3003053200145525,,,71.2167,-164.25
2019-08-18 22:26:36,1,5D59D09C,0.24989999999999998,-0.00025,0.00265,-0.000215,5.2427,1.3054000000000001,0.0494,1566167196,-0.00012246566403571746,5.242704432815823,,,71.2167,-164.25
2019-08-18 22:26:44,1,5D59D0A4,0.2675,0.00010099999999999999,0.0026839999999999998,0.000162,5.1575,6.051200000000001,0.0741,1566167204,-9.564668523163837e-05,5.157503405792481,,,71.2167,-164.25
2019-08-18 22:26:52,1,5D59D0AC,0.2869,-0.0006879999999999999,0.0026349999999999998,-0.000597,5.208099999999999,1.159,0.0988,1566167212,-0.00013449522157259718,5.208104836131693,,,71.2167,-164.25
